word,count
!,12
$1,55
$10,15
$100,17
$100!,1
$12,4
$125,5
$14,1
$140,2
$15,3
$150,28
$17,2
$18,6
$19,16
$2,40
$20,10
$200,7
$21,12
$24,2
$25,5
$250,5
$3,5
$30,1
$300,1
$350,4
$38,2
$4,7
$40,2
$400,9
$43,3
$45,4
$48,1
$5,23
$50,13
$500,11
$505,1
$51,1
$55,1
$58,10
$59,5
$6,20
$60,1
$68,1
$7,5
$70,2
$71,1
$75,3
$77,1
$79,1
$8,3
$800,3
$9,2
$900,2
0%,3
00,2
000,159
000%,1
1,17
1%,12
10,30
10%,9
100,23
100%,17
11,19
11%,6
112,4
118,1
11th,8
12,22
12%,1
128,1
1290,3
13,8
13%,2
130,4
14,11
14%,1
1400,1
147,1
14;,1
14th,4
15,28
15%,5
150,2
16,10
16%,1
16;,1
16th,9
17,17
17th,2
18,9
18%,3
185,1
186,1
18th,1
19,5
19%,1
1940s,1
1947,1
1950s,2
1962,1
1974,1
1978,1
1990s,1
1991,2
1993,1
1997,1
1st,3
1stand,1
2,27
2%,8
20,38
20%,14
200,4
2000,2
2001,2
2002,2
2003,3
2004,8
2005,1
2008,1
201,1
2011,1
2012,1
2013,3
2015,1
2016,6
2017,1
20s,2
21,6
21%,1
22,6
22%,1
2205,1
22kill,1
22s,1
23,7
232,1
24,21
24%,3
240,2
25,14
25%,11
250,1
26,1
26%,3
26th,1
27%,1
272,1
28,12
28%,3
28th,1
29,1
29%,2
2nd,4
3,12
3%,11
30,17
30%,7
300,4
301,1
30th,2
31,4
31%,2
31st,1
32,5
32%,5
33,2
33%,7
34,1
34%,1
35,11
35%,6
350,1
36,2
36%,1
37,2
37%,2
38,1
38%,1
39,1
39%,1
390,1
3d,1
4,15
4%,6
40,10
40%,4
400,4
40th,1
41%,6
42,4
42%,9
43%,1
44%,6
45,10
45%,6
46,5
46%,4
47%,1
48,1
48%,6
49,2
49%,1
5,53
5%,9
50,37
50%,11
500,12
500%,1
50s,2
51,1
51%,7
52%,1
52s,1
53%,4
540,1
55,9
55%,4
56,2
56th,2
57,1
57th,2
59,1
6,23
6%,4
60,9
60%,1
600,4
62,3
62%,4
63%,1
65,1
66,5
67%,1
68,1
68%,1
69,3
7,15
70,3
70%,3
73,1
737,1
747,1
75%,2
757,1
78%,1
79,3
8,2
8%,1
80,1
800,2
85,4
85%,1
8th,1
9,12
9%,6
90,2
90%,1
92,2
93,8
95,1
99,4
99%,3
:,1
@realdonaldtr,1
a,3637
aaa,4
ab,15
abandoned,2
abandonment,1
abbas,1
abc,2
abide,1
abiding,3
ability,11
able,53
abo,641
abolish,2
abolishing,3
abortion,1
above,13
abraham,2
abroad,2
absol,58
abysmal,1
academy,5
acc,6
accent,1
accept,4
accepting,2
access,5
accident,2
acco,13
accomplish,1
accomplished,4
accomplishment,1
accomplishments,2
according,11
achieve,4
achievement,7
achievements,1
achilles,1
across,25
act,180
acting,2
action,14
actions,7
active,1
activist,1
activists,2
activities,4
activity,1
acts,2
ad,19
ada,1
adam,6
add,16
added,4
addicted,1
adding,5
addition,2
additional,1
additionally,1
address,7
addressed,1
adds,1
adept,1
adj,1
adkins,1
administration,46
administrative,1
admire,1
admired,1
admissions,5
admit,13
admits,3
admitted,4
admitting,5
adopt,2
adr,1
ads,36
advantage,15
advent,1
adversaries,1
advertise,1
advertisements,1
advertising,5
advice,2
affairs,2
affect,1
affection,1
affects,3
affiliated,4
afford,11
afforded,1
affront,1
afghan,5
afghanistan,9
afghanistan;,1
afraid,12
african,6
after,112
afternoon,1
afterwards,2
again,242
again!,2
again;,1
against,91
again…,2
age,7
aged,1
agencies,1
agency,1
agenda,1
agent,2
agents,4
aggression,2
aggressive,2
aggressively,1
ago,156
agree,29
agreed,9
agreement,18
agreements,8
agrees,17
ah,3
ahead,25
aids,1
aimless,1
air,31
airb,1
aircraft,1
airline,1
airliners,1
airlines,1
airplane,3
airplanes,1
airport,6
airports,16
airports;,1
al,21
alabama,11
alb,1
alexander,1
alified,2
alities,1
ality,11
alive,1
all,821
all!,1
all;,1
allegiance,1
allen,1
allies,21
allow,26
allowed,41
allowing,4
ally,197
almost,66
alone,3
along,45
alongside,1
already,24
als,5
also,96
alternative,2
altho,11
altogether,2
always,112
alzheimer’s,1
am,78
amate,4
amazed,4
amazing,113
amazingly,4
amb,1
ambassador,6
amendment,51
amendments,1
america,177
american,88
americanism,1
americanism;,1
americans,45
americans’,1
american’s,2
americas,2
america’s,15
amo,29
among,13
amongst,1
amt,1
amvets,1
an,344
analyze,1
anchor,7
anchors,2
and,5431
ang,1
angeles,13
angels,1
anger,10
angle,1
angles,1
angrily,1
angry,16
ankle,1
ankles,1
anno,55
another,64
answer,23
answered,1
answers,1
antanamo,1
anti,9
antiq,1
any,132
anybody,88
anybody’s,6
anymore,86
anymore…and,1
anyone,22
anyone;,1
anything,110
anytime,2
anyway,18
anyways,12
anywhere,18
ap,1
apart,10
apartment,6
apartments,4
apologize,6
apologized,2
apologizing,1
apology,3
apparat,2
appla,15
apple,3
apples,3
applicants,2
application,1
applied,1
applies,1
apply,1
applying,3
appoint,1
appointed,1
appoints,1
appreciate,22
appreciated,2
appreciates,1
apprentice,15
approach,1
approaches,1
approaching,1
appropriate,6
approval,3
approve,12
approved,10
approves,1
approving,1
approximately,1
arab,1
arabia,23
arafat,1
arantee,15
aranteed,1
ard,2
ardia,2
ardian,1
ards,1
are,1073
are;,1
area,15
areas,9
aren,5
arena,3
arenas,3
arends,1
aren’t,41
ares,1
arg,4
arizona,5
arkansas,2
arm,6
armed,3
arms,2
army,3
aro,64
arpaio,2
arrange,1
arrested,1
arrived,2
arrogance,2
arrogant,1
arrow,2
arsenal,2
art,16
arter,1
arterback,4
arters,1
article,7
articles,1
artificial,1
artificially,1
ary,4
as,333
ashamed,5
asia,3
asian,1
asians,5
aside,2
asive,1
ask,41
asked,39
asking,15
asks,1
asleep,2
aspect,4
aspects,1
asphalt,3
aspire,1
ass,11
assa,5
assassination,2
assemble,2
asses,1
assessment,2
asset,1
assets,14
assimilate,1
assimilation,1
associate,1
associates,2
association,2
asto,2
astoria,1
astronomical,2
asyl,2
at,552
ate,3
ated,2
ates,4
athlete,2
athletes,3
ation,24
ations,5
atlanta,1
atlantic,7
atmosphere,2
atri,1
atrocities,1
atrophy,1
attached,1
attack,28
attacked,17
attacks,15
attempt,2
attempting,1
attend,2
attended,2
attit,5
attorney,8
available,2
ave,1
aven,14
average,4
awake,1
award,1
awards,12
away,76
awf,5
aye,1
aye!,1
ayeyayay,1
ayeyeye,4
b,2016
ba,2
babies,13
baby,23
baby’,1
back,336
back;,2
backbone,1
backdoor,1
backdrop,1
backed,11
backers,1
backgro,9
backing,4
backroom,1
backs,1
backstage,1
backwards,4
backyard,2
bad,165
baden,1
badly,42
bad…,1
bag,2
bags,1
bah,3
bai,3
bai;,1
balance,7
balanced,4
balancing,4
ball,2
ballistic,3
ballroom,1
ballrooms,2
balls,1
baltimore,3
ban,6
bang,2
bank,22
banking,3
bankr,8
banks,14
banning,1
barack,3
barak,1
barn,2
barrier,2
barriers,2
barron,3
base,6
baseball,3
based,19
bases,2
basic,4
basically,7
basis,4
basket,1
basketball,3
bathroom,2
bathrooms,3
battle,1
battlefield,7
battles,1
battleships,1
bay,1
bbed,1
bble,9
bbles,1
bcommittee,4
bcontractors,1
be,1184
bea,84
beach,1
beada,8
beat,38
beaten,4
beating,17
beats,2
beca,775
became,10
becky,2
become,45
becomes,3
becoming,6
bed,1
beef,9
been,397
been…the,1
before,131
beg,1
began,7
begging,1
begin,10
beginning,19
behalf,4
behave,2
behavior,4
beheadings,1
behemoth,2
behind,12
behold,1
being,122
beings,3
belief,2
beliefs,2
believe,231
believed,9
believer,6
believers,3
believes,10
believing,2
below,6
ben,26
benefactor,1
beneficiaries,2
beneficiary,2
benefit,11
benefited,1
benefits,2
benghazi,5
bent,3
benz,2
ben’s,2
bergdahl,19
bergdahl;,1
bernardino,12
bernie,15
bes,2
beside,1
besides,2
best,82
bestsellers,3
bet,4
betrayal,1
betrayed,1
better,159
between,21
beyond,14
bibi,6
bible,8
bicycle,2
bid,1
bidder,2
bidding,1
biden,2
bids,1
big,259
bigger,33
biggest,54
bigly,3
biker,1
bikers,2
bikes,2
bilateral,1
bill,24
billion,117
billions,21
bills,6
billy,3
bin,1
binds,1
bing,16
bio,19
bio’s,1
birthday,1
bit,46
bite,2
bject,13
bjects,5
bl,6
black,4
blah,3
blame,3
blamed,1
blames,1
blaming,1
blasts,1
blazed,1
ble,31
bled,6
bleh,1
blemakers,1
bles,1
bless,1
blew,6
blic,17
blican,45
blicans,35
blicity,8
blicly,1
bling,1
blished,2
blishers,1
bliss,2
blitzer,2
bloated,1
blockade,1
blocks,3
blood,5
bloods,1
bloomberg,3
blow,5
blowing,1
blown,2
bmit,1
bo,17
board,2
boards,1
boat,2
boats,3
bob,4
bobbsey,1
bobby,12
body,1
boeing,12
boeing’s,1
bogged,1
boiler,1
bolts,2
bomb,12
bombers,4
bombing,8
bombs,4
bond,1
bonded,3
bondi,1
bonding,2
bonds,2
bone,1
bonwit,2
booing,1
book,24
bookkeeping,1
books,10
boom,12
boom!,7
boon,1
boost,1
booth,1
booths,2
border,82
border;,2
borders,42
bore,1
born,14
borrow,5
borrowed,3
borrowings,1
bosom,1
boss,1
bosses,2
boston,4
both,31
bother,1
bothered,1
bothers,2
bothersome,1
bottom,16
bow,1
bowe,1
bows,1
box,1
boxes,3
boy,22
boys,2
br,9
bracket,1
brackets,1
brad,1
brady,6
brady’s,1
brag,6
braggadocio,3
bragging,3
braggingly,1
brain,5
brand,6
brand’s,1
brave,3
bravest,1
brazil,1
breach,1
breadth,1
break,14
breakfast,2
breaking,1
breath,4
brexit,1
brian,1
bridge,12
bridges,22
briefly,1
brilliant,9
brilliantly,1
brimming,1
bring,123
bringing,25
brings,3
brining,1
britain,1
british,1
bro,32
broadcast,4
broadcasters,1
broadcasting,1
broadcasts,3
broadly,1
broke,7
broken,6
broker,2
brokers,1
bronx,1
brooklyn,4
brother,6
brotherhood,1
brown,1
bsidies,4
bsidize,2
bsidized,2
bsidy,2
bstantially,9
bt,4
btract,1
by,475
bye,8
bye!,1
c,96
ca,24
cable,4
cadillac,1
caesar’s,3
cages,2
calderon,1
california,17
call,82
called,73
calling,19
calls,13
calm,1
calmed,1
came,156
camera,1
cameraman,1
cameras,34
cameras;,1
camp,1
campaign,73
campaigned,3
campaigning,2
campaigns,3
can,410
canada,6
canadian,1
cancer,2
candidacy,1
candidate,16
candidates,27
candidates’,1
cannot,24
can’t,236
cap,1
capability,3
capable,3
capacities,1
capacity,2
capita,1
capital,3
capitol,1
capt,2
captain,1
car,12
carbon,2
card,5
cards,10
care,153
cared,1
career,3
caref,9
cares,7
care…,1
carl,26
carly,2
carnage,7
carolina,40
carried,4
carrier,16
carry,2
carrying,3
cars,27
carson,19
cartel,1
cartels,2
carter,1
case,37
cases,19
cases…are,1
case…like,1
cash,10
cashed,1
cast,3
catastrophe,9
catastrophes,4
catastrophic,3
catch,1
catching,2
cate,3
cated,11
category,1
caterpillar,10
caterpillar;,1
